GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21
2035;Межрайонная инспекция Федеральной налоговой службы №5 по Чеченской Республике;,366813,Чеченская Респ,Надтеречный р-н,,Знаменское с,Московская ул,1,,;87132-22604;Код ОКПО:77218583 Часы работы: с 9-00 до 18-00 обед с13-00 до 14-00;Управление Федерального Казначейства по Чеченской Республике;96701000;7710342770;201401001;ГРКЦ НБ ЧЕЧЕНСКОЙ РЕСПУБЛИКИ БАНКА РОССИИ;049690001;;40101810200001000001;20032;Межрайонная инспекция Федеральной налоговой службы №5 по Чеченской Республике;,366813,Чеченская Республика, Надтеречный р-н,, Знаменское с, Московская ул, 1,,;;НЕ ДЕЙСТВУЕТ;20032;Межрайонная инспекция Федеральной налоговой службы №5 по Чеченской Республике;,366813,Чеченская Республика, Надтеречный р-н,, Знаменское с, Московская ул, 1,,;;НЕ ДЕЙСТВУЕТ
2036;Межрайонная инспекция Федеральной налоговой службы №6 по Чеченской Республике;,364021,Чеченская Респ,,Грозный г,,Заводская ул,21,,;8712-627949;Код ОКПО: Часы работы: с 9-00 до 18-00 обед с13-00 до 14-00;Управление Федерального Казначейства по Чеченской Республике;96701000;7710342770;201401001;ГРКЦ НБ ЧЕЧЕНСКОЙ РЕСПУБЛИКИ БАНКА РОССИИ;049690001;;40101810200001000001;;;;;;;;;;
2124;Инспекция Федеральной налоговой службы по г.Новочебоксарску Чувашской Республики;,429955,Чувашская Республика - Чувашия,,Новочебоксарск г,,Солнечная ул,1,,;8352-785586;Код ОКПО:24360536 Дни и часы приема (без перерыва на обед): понедельник, среда, пятница: 8.00 - 17.00 вторник, четверг: 8.00 - 20.00 вторая и четвертая субботы месяца: 10.00-15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97701000;2128018171;213001001;ГРКЦ НБ ЧУВАШСКОЙ РЕСП. БАНКА РОССИИ;049706001;;40101810900000010005;21030;Инспекция Федеральной налоговой службы по г.Новочебоксарску Чувашской Республики;428901, Чувашская Республика, г.Новочебоксарск, ул.Солнечная, 1;(8352) 78-11-00, 78-54-13;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21030;Инспекция Федеральной налоговой службы по г.Новочебоксарску Чувашской Республики;428901, Чувашская Республика, г.Новочебоксарск, ул.Солнечная, 1;(8352) 78-11-00, 78-54-13;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2130;Инспекция Федеральной налоговой службы по г.Чебоксары;,428032,,,Чебоксары г,,Базарная ул,40,,;8352-620499, 8352-620151;Код ОКПО:94075263 Дни и часы приема: понедельник,среда,пятница: 8.00-17.00 вторник,четверг: 8.00-20.00 2-я и 4-я субботы месяца: 10.00-15.00. Прием заявлений и выдача свидетельств ИНН производится по адресу: г.Чебоксары, ул.П.Лумумбы,8.;Управление Федерального казначейства по Чувашской Республике;97701000;2128018171;213001001;ГРКЦ НБ ЧУВАШСКОЙ РЕСП. БАНКА РОССИИ;049706001;;40101810900000010005;21183;Инспекция Федеральной налоговой службы по г. Чебоксары;,428032,,, Чебоксары г,, Базарная ул, д 40,,;(8352) 63-05-04, 63-44-20;;21183;Инспекция Федеральной налоговой службы по г. Чебоксары;,428032,,, Чебоксары г,, Базарная ул, д 40,,;(8352) 63-05-04, 63-44-20;
2131;Межрайонная инспекция Федеральной налоговой службы № 1 по Чувашской Республике;,429820,Чувашская Республика - Чувашия,,Алатырь г,,Гончарова ул,36,,;83531-25254;Код ОКПО:03179146 Дни и часы приема (без перерыва на обед): понедельник, среда, пятница: 8.00 - 17.00 вторник, четверг: 8.00 - 20.00 вторая и четвертая субботы месяца: 10.00-15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97701000;2128018171;213001001;ГРКЦ НБ ЧУВАШСКОЙ РЕСП. БАНКА РОССИИ;049706001;;40101810900000010005;21059;Межрайонная инспекция Федеральной налоговой службы № 1 по Чувашской Республике;,429826, Чувашская Республика - Чувашия,, Алатырь г,, Гончарова ул, д 36,,;(83531) 2-09-12, 2-52-54;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21059;Межрайонная инспекция Федеральной налоговой службы № 1 по Чувашской Республике;,429826, Чувашская Республика - Чувашия,, Алатырь г,, Гончарова ул, д 36,,;(83531) 2-09-12, 2-52-54;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2132;Межрайонная инспекция Федеральной налоговой службы № 2 по Чувашской Республике;,429140,Чувашская Республика - Чувашия,,,Комсомольское с,Пришкольный пер,5/2,,;83539-52106;Код ОКПО:03509253 Дни и часы приема (без перерыва на обед): понедельник, среда, пятница: 8.00 - 17.00 вторник, четверг: 8.00 - 20.00 вторая и четвертая субботы месяца: 10.00-15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97701000;2128018171;213001001;ГРКЦ НБ ЧУВАШСКОЙ РЕСП. БАНКА РОССИИ;049706001;;40101810900000010005;21060;Межрайонная инспекция Федеральной налоговой службы № 2 по Чувашской Республике;,429140, Чувашская Республика - Чувашия,,, Комсомольское с, Пришкольный пер, д 5/2,,;(83532) 5-14-56, 5-21-06;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21060;Межрайонная инспекция Федеральной налоговой службы № 2 по Чувашской Республике;,429140, Чувашская Республика - Чувашия,,, Комсомольское с, Пришкольный пер, д 5/2,,;(83532) 5-14-56, 5-21-06;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2133;Межрайонная инспекция Федеральной налоговой службы № 3 по Чувашской Республике;,429220,Чувашская Республика - Чувашия,,,Вурнары пгт,Карла Маркса ул,4-в,,;83537-27147;Код ОКПО:05139665 Дни и часы приема (без перерыва на обед): понедельник, среда, пятница: 8.00 - 17.00 вторник, четверг: 8.00 - 20.00 вторая и четвертая субботы месяца: 10.00-15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97701000;2128018171;213001001;ГРКЦ НБ ЧУВАШСКОЙ РЕСП. БАНКА РОССИИ;049706001;;40101810900000010005;21061;Межрайонная инспекция Федеральной налоговой службы № 3 по Чувашской Республике;429220, Чувашская Республика, Вурнарский район, п. Вурнары, ул. К.Маркса, 4в;(83537) 2-59-52, 2-71-47;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21061;Межрайонная инспекция Федеральной налоговой службы № 3 по Чувашской Республике;429220, Чувашская Республика, Вурнарский район, п. Вурнары, ул. К.Маркса, 4в;(83537) 2-59-52, 2-71-47;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2134;Межрайонная инспекция Федеральной налоговой службы № 4 по Чувашской Республике;,429330,Чувашская Республика - Чувашия,,Канаш г,,30 лет Победы ул,92,,;83533-23932;Код ОКПО:13097188 Дни и часы приема (без перерыва на обед): Понедельник, среда, пятница: 8.00 - 17.00 вторник, четверг: 8.00 - 20.00 вторая и четвертая субботы месяца: 10.00-15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97701000;2128018171;213001001;ГРКЦ НБ ЧУВАШСКОЙ РЕСП. БАНКА РОССИИ;049706001;;40101810900000010005;21062;Межрайонная инспекция Федеральной налоговой службы № 4 по Чувашской Республике;429330,Чувашская Республика, г.Канаш, ул. 30 лет Победы, д. 92;(83533) 2-26-87, 2-31-88;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21062;Межрайонная инспекция Федеральной налоговой службы № 4 по Чувашской Республике;429330,Чувашская Республика, г.Канаш, ул. 30 лет Победы, д. 92;(83533) 2-26-87, 2-31-88;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2135;Межрайонная инспекция Федеральной налоговой службы № 5 по Чувашской Республике;,429500,Чувашская Республика - Чувашия,,,Кугеси рп,Советская ул,32,,;83540-24845;Код ОКПО:01314605 Дни и часы приема (без перерыва на обед): Понедельник, среда, пятница: 8.00 - 17.00 вторник, четверг: 8.00 - 20.00 вторая и четвертая субботы месяца: 10.00-15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97701000;2128018171;213001001;ГРКЦ НБ ЧУВАШСКОЙ РЕСП. БАНКА РОССИИ;049706001;;40101810900000010005;21063;Межрайонная инспекция Федеральной налоговой службы № 5 по Чувашской Республике;429500, Чувашская Республика, Чебоксарский район, п. Кугеси, ул. Советская, 32;(8352) 66-21-62, (83540) 2-11-41;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21063;Межрайонная инспекция Федеральной налоговой службы № 5 по Чувашской Республике;429500, Чувашская Республика, Чебоксарский район, п. Кугеси, ул. Советская, 32;(8352) 66-21-62, (83540) 2-11-41;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2137;Межрайонная инспекция Федеральной налоговой службы № 7 по Чувашской Республике;,429900,Чувашская Республика - Чувашия,,Цивильск г,,Терешковой ул,5а,,;83545-21698;Код ОКПО:01960162 Дни и часы приема (без перерыва на обед): Понедельник, среда, пятница: 8.00 - 17.00 вторник, четверг: 8.00 - 20.00 вторая и четвертая субботы месяца: 10.00-15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97701000;2128018171;213001001;ГРКЦ НБ ЧУВАШСКОЙ РЕСП. БАНКА РОССИИ;049706001;;40101810900000010005;21065;Межрайонная инспекция Федеральной налоговой службы № 7 по Чувашской Республике;,429901, Чувашская Респ,, Цивильск г,, Терешковой ул, д 5а,,;(83545) 2-25-18, 2-45-45;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21065;Межрайонная инспекция Федеральной налоговой службы № 7 по Чувашской Республике;,429901, Чувашская Респ,, Цивильск г,, Терешковой ул, д 5а,,;(83545) 2-25-18, 2-45-45;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2138;Межрайонная инспекция Федеральной налоговой службы № 8 по Чувашской Республике;,429122,Чувашская Республика - Чувашия,,Шумерля г,,Октябрьская ул,20а,,;83536-22742;Код ОКПО:03508940 Дни и часы приема (без перерыва на обед): понедельник, среда, пятница: 8.00 - 17.00 вторник, четверг: 8.00 - 20.00 вторая и четвертая субботы месяца: 10.00-15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Чувашской Республике;97701000;2128018171;213001001;ГРКЦ НБ ЧУВАШСКОЙ РЕСП. БАНКА РОССИИ;049706001;;40101810900000010005;21066;Межрайонная инспекция Федеральной налоговой службы № 8 по Чувашской Республике;,429122, Чувашская Республика - Чувашия,, Шумерля г,, Октябрьская ул, д 20а,,;(83536) 5-33-43, 5-36-55;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;21066;Межрайонная инспекция Федеральной налоговой службы № 8 по Чувашской Республике;,429122, Чувашская Республика - Чувашия,, Шумерля г,, Октябрьская ул, д 20а,,;(83536) 5-33-43, 5-36-55;Режим работы: с 8-00 до 17-00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
2201;Межрайонная инспекция Федеральной налоговой службы № 10 по Алтайскому краю;,658130,Алтайский край,,Алейск г,,В.Олешко ул,57,,;(38553)2-92-71;Код ОКПО:75997531 Режим работы: понедельник, среда 9.00-18.00 вторник, четверг 9.00-20.00 пятница 9.00-16.45 1 и 3 субботы;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01701000;2225026971;222501001;ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.;040173001;;40101810100000010001;22079;Межрайонная инспекция Федеральной налоговой службы № 10 по Алтайскому краю;,658130,Алтайский край,,Алейск г,,В.Олешко ул,57,,;385-53-2-92-71;Режим работы: понедельник - пятница с 8:00 до 17:00 выходной субота, воскресенье;22079;Межрайонная инспекция Федеральной налоговой службы № 10 по Алтайскому краю;,658130,Алтайский край,,Алейск г,,В.Олешко ул,57,,;385-53-2-92-71;Режим работы: понедельник - пятница с 8:00 до 17:00 выходной субота, воскресенье
2202;Межрайонная инспекция Федеральной налоговой службы по крупнейшим налогоплательщикам Алтайского края;,656056,,,Барнаул г,,Горького ул,36,,;(3852)35-30-24;Код ОКПО:29733858 Режим работы: понедельник, среда 9.00-18.00 вторник, четверг 9.00-20.00 пятница 9.00-16.45 1 и 3 субботы;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01701000;2225026971;222501001;ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.;040173001;;40101810100000010001;22120;Межрайонная инспекция Федеральной налоговой службы по крупнейшим налогоплательщикам Алтайского края;,656056,,,Барнаул г,,Горького ул,36,,;3852-35-30-24;НЕ ДЕЙСТВУЕТ;;;;;
2204;Межрайонная инспекция Федеральной налоговой службы №1 по Алтайскому краю;,659305,Алтайский край,,Бийск г,,Мартьянова пер,59/1,,;(3854)43-82-56;Код ОКПО:75999317 Режим работы: понедельник, среда 9.00-18.00 вторник, четверг 9.00-20.00 пятница 9.00-16.45 1 и 3 субботы;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01701000;2225026971;222501001;ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.;040173001;;40101810100000010001;22081;Межрайонная инспекция Федеральной налоговой службы №1 по Алтайскому Краю;,659305,Алтайский край,,Бийск г,,Мартьянова ул,59/1,,;3854-43-82-56;Режим работы: с 8:00 до 17:00;22081;Межрайонная инспекция Федеральной налоговой службы №1 по Алтайскому Краю;,659305,Алтайский край,,Бийск г,,Мартьянова ул,59/1,,;3854-43-82-56;Режим работы: с 8:00 до 17:00
2207;Межрайонная инспекция Федеральной налоговой службы № 6 по Алтайскому краю;,658710,Алтайский край,,Камень-на-Оби г,,Красноармейская ул,50,,;(38584)224-91;Код ОКПО:75999292 Режим работы: понедельник, среда 9.00-18.00 вторник, четверг 9.00-20.00 пятница 9.00-16.45 1 и 3 субботы;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01701000;2225026971;222501001;ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.;040173001;;40101810100000010001;22084;Межрайонная инспекция Федеральной налоговой службы № 6 по Алтайскому Краю;,658710,Алтайский край,,Камень-на-Оби г,,Красноармейская ул,50,,;38584 2-39-49;Режим работы: с 8:00 до 17:00;22084;Межрайонная инспекция Федеральной налоговой службы № 6 по Алтайскому Краю;,658710,Алтайский край,,Камень-на-Оби г,,Красноармейская ул,50,,;38584 2-39-49;Режим работы: с 8:00 до 17:00
2208;Межрайонная инспекция Федеральной налоговой службы № 4 по Алтайскому краю;,658087,Алтайский край,,Новоалтайск г,,22 Партсъезда ул,12,,;38532 2-59-76;Код ОКПО:75997560 Режим работы: понедельник, среда 9.00-18.00 вторник, четверг 9.00-20.00 пятница 9.00-16.45 1 и 3 субботы (Прием физических лиц осуществляется ежедневно по адресу г.Новоалтайск, ул.Анатолия, 7 дополнительно по вторникам и четверга;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01701000;2225026971;222501001;ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.;040173001;;40101810100000010001;22085;Межрайонная инспекция Федеральной налоговой службы № 4 по Алтайскому Краю;,658087,Алтайский край,,Новоалтайск г,,22 Партсъезда ул,12,,;38532 2-59-76;Режим работы: с 8:00 до 17:00;22085;Межрайонная инспекция Федеральной налоговой службы № 4 по Алтайскому Краю;,658087,Алтайский край,,Новоалтайск г,,22 Партсъезда ул,12,,;38532 2-59-76;Режим работы: с 8:00 до 17:00
2209;Межрайонная инспекция Федеральной налоговой службы № 12 по Алтайскому краю;,658204,Алтайский край,,Рубцовск г,,Октябрьская ул,64,,;(38557) 508-88;Код ОКПО:75999331 Режим работы: понедельник, среда 9.00-18.00 вторник, четверг 9.00-20.00 пятница 9.00-16.45 1 и 3 субботы;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01701000;2225026971;222501001;ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.;040173001;;40101810100000010001;22086;Межрайонная инспекция Федеральной налоговой службы № 12 по Алтайскому Краю;,658204,Алтайский край,,Рубцовск г,,Октябрьская ул,64,,;38557 5-08-52;Режим работы: с 8:00 до 17:00;22086;Межрайонная инспекция Федеральной налоговой службы № 12 по Алтайскому Краю;,658204,Алтайский край,,Рубцовск г,,Октябрьская ул,64,,;38557 5-08-52;Режим работы: с 8:00 до 17:00
2210;Межрайонная инспекция Федеральной налоговой службы № 9 по Алтайскому краю;,658820,Алтайский край,,Славгород г,,Крупской ул,185,,;(38568) 501-20;Код ОКПО:75999277 Режим работы: понедельник, среда 9.00-18.00 вторник, четверг 9.00-20.00 пятница 9.00-16.45 1 и 3 субботы;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01701000;2225026971;222501001;ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.;040173001;;40101810100000010001;22087;Межрайонная инспекция Федеральной налоговой службы № 9 по Алтайскому Краю;,658820,Алтайский край,,Славгород г,,Крупской ул,185,,;(38568)5-01-20;Режим работы: с 8:00 до 17:00;22087;Межрайонная инспекция Федеральной налоговой службы № 9 по Алтайскому Краю;,658820,Алтайский край,,Славгород г,,Крупской ул,185,,;(38568)5-01-20;Режим работы: с 8:00 до 17:00
2223;Межрайонная инспекция Федеральной налоговой службы № 14 по Алтайскому краю;,656068,,,Барнаул г,,Социалистический пр,47,,;3852 65-95-73;Код ОКПО:29734823 Режим работы: понедельник, среда 9.00-18.00 вторник, четверг 9.00-20.00 пятница 9.00-16.45 1 и 3 субботы;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01701000;2225026971;222501001;ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.;040173001;;40101810100000010001;22091;Межрайонная инспекция Федеральной налоговой службы России № 14 по Алтайскому краю;,656068,,,Барнаул г,,Социалистический пр,47,,;3852 65-95-73;Режим работы: с 8:00 до 17:00;22091;Межрайонная инспекция Федеральной налоговой службы России № 14 по Алтайскому краю;,656068,,,Барнаул г,,Социалистический пр,47,,;3852 65-95-73;Режим работы: с 8:00 до 17:00
2224;Инспекция Федеральной налоговой службы по Октябрьскому району г. Барнаула;,656002,,,Барнаул г,,Профинтерна ул,48,а,;(38522)61-20-60;Код ОКПО:35012726 Режим работы: понедельник, среда 9.00-18.00 вторник, четверг 9.00-20.00 пятница 9.00-16.45 1 и 3 субботы;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01701000;2225026971;222501001;ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.;040173001;;40101810100000010001;22092;Инспекция Федеральной налоговой службы по Октябрьскому району г. Барнаула;,656002,,, Барнаул г,, Профинтерна ул, д 48, корп а,;3852 61-65-77;Режим работы: с 8:00 до 17:00;22092;Инспекция Федеральной налоговой службы по Октябрьскому району г. Барнаула;,656002,,, Барнаул г,, Профинтерна ул, д 48, корп а,;3852 61-65-77;Режим работы: с 8:00 до 17:00
2225;Межрайонная инспекция Федеральной налоговой службы № 15 по Алтайскому краю;,656068,,,Барнаул г,,Социалистический пр,47,,;3852 65-95-91;Код ОКПО:32230761 Режим работы: понедельник, среда 9.00-18.00 вторник, четверг 9.00-20.00 пятница 9.00-16.45 1 и 3 субботы;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01701000;2225026971;222501001;ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.;040173001;;40101810100000010001;22093;Межрайонная инспекция Федеральной налоговой службы России № 15 по Алтайскому краю;,656068,,, Барнаул г,, Социалистический пр-кт, д 47,,;3852 65-95-91;Режим работы: с 8:00 до 17:00;22093;Межрайонная инспекция Федеральной налоговой службы России № 15 по Алтайскому краю;,656068,,, Барнаул г,, Социалистический пр-кт, д 47,,;3852 65-95-91;Режим работы: с 8:00 до 17:00
2235;Межрайонная инспекция Федеральной налоговой службы № 8 по Алтайскому краю;,658670,Алтайский край,Благовещенский р-н,,Благовещенка пгт,Кирова ул,68,,;38564 2-44-36;Код ОКПО:75998542 Режим работы: понедельник, среда 9.00-18.00 вторник, четверг 9.00-20.00 пятница 9.00-16.45 1 и 3 субботы;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01701000;2225026971;222501001;ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.;040173001;;40101810100000010001;22096;Межрайонная инспекция Федеральной налоговой службы № 8 по Алтайскому краю;,658670,Алтайский край,Благовещенский р-н,,Благовещенка р.п,Кирова ул,68,,;38564 2-44-36;Режим работы: с 8:00 до 17:00;22096;Межрайонная инспекция Федеральной налоговой службы № 8 по Алтайскому краю;,658670,Алтайский край,Благовещенский р-н,,Благовещенка р.п,Кирова ул,68,,;38564 2-44-36;Режим работы: с 8:00 до 17:00
2261;Межрайонная инспекция Федеральной налоговой службы № 7 по Алтайскому краю;,659000,Алтайский край,,,Павловск с,Пионерская ул,4,,;38581 2-04-52;Код ОКПО:55995139 Режим работы: понедельник, среда 9.00-18.00 вторник, четверг 9.00-20.00 пятница 9.00-16.45 1 и 3 субботы;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО АЛТАЙСКОМУ КРАЮ;01701000;2225026971;222501001;ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.;040173001;;40101810100000010001;22106;Межрайонная инспекция Федеральной налоговой службы № 7 по Алтайскому краю;,659000,Алтайский край,,,Павловск с,Пионерская ул,4,,;38581 2-04-52;Режим работы: с 8:00 до 17:00;22106;Межрайонная инспекция Федеральной налоговой службы № 7 по Алтайскому краю;,659000,Алтайский край,,,Павловск с,Пионерская ул,4,,;38581 2-04-52;Режим работы: с 8:00 до 17:00
2301;Инспекция Федеральной налоговой службы по городу-курорту Анапа Краснодарского края;,353440,Краснодарский край,,Анапа г,,Шевченко ул,1,,;86133-4-34-66;Код ОКПО:21046992;УФК по Краснодарскому краю;03701000;2310024534;231001001;ГРКЦ ГУ БАНКА РОССИИ ПО КРАСНОДАРСКОМУ КР.;040349001;;40101810300000010013;23052;Инспекция Федеральной налоговой службы по городу-курорту Анапа Краснодарского края;353410, Краснодарский край, г.Анапа, ул.Шевченко, 1;861 334-34-66;;23052;Инспекция Федеральной налоговой службы по городу-курорту Анапа Краснодарского края;353410, Краснодарский край, г.Анапа, ул.Шевченко, 1;861 334-34-66;
2304;Инспекция Федеральной налоговой службы по городу-курорту Геленджику Краснодарского края;,353460,Краснодарский край,,Геленджик г,,Островского ул,3,,;861 412-15-74;Код ОКПО:21047023;УФК по Краснодарскому краю;03701000;2310024534;231001001;ГРКЦ ГУ БАНКА РОССИИ ПО КРАСНОДАРСКОМУ КР.;040349001;;40101810300000010013;23055;Инспекция Федеральной налоговой службы по городу-курорту Геленджику Краснодарского края;353470, Краснодарский край, г.Геленджик, ул.Островского, 3;861 412-40-59;;23055;Инспекция Федеральной налоговой службы по городу-курорту Геленджику Краснодарского края;353470, Краснодарский край, г.Геленджик, ул.Островского, 3;861 412-40-59;
2307;Межрайонная инспекция Федеральной налоговой службы по крупнейшим налогоплательщикам по Краснодарскому краю;,350059,,,Краснодар г,,Ялтинская ул/им. М.И.Глинки ул,33/8,,;861 992-06-99, 861 992-06-86, 861 992-06-86;Код ОКПО:21047069;УФК по Краснодарскому краю;03701000;2310024534;231001001;ГРКЦ ГУ БАНКА РОССИИ ПО КРАСНОДАРСКОМУ КР.;040349001;;40101810300000010013;;;;;;;;;;
2308;Инспекция Федеральной налоговой службы №1 по г. Краснодару;,350020,,,Краснодар г,,Шоссе Нефтяников ул,7,,;861-224-77-16;Код ОКПО:21047075;УФК по Краснодарскому краю;03701000;2310024534;231001001;ГРКЦ ГУ БАНКА РОССИИ ПО КРАСНОДАРСКОМУ КР.;040349001;;40101810300000010013;23059;Инспекция Федеральной налоговой службы № 1 по г. Краснодару;350020, г.Краснодар, шоссе Нефтяников, 7;861 254-37-97;;23059;Инспекция Федеральной налоговой службы № 1 по г. Краснодару;350020, г.Краснодар, шоссе Нефтяников, 7;861 254-37-97;
2309;Инспекция Федеральной налоговой службы №3 по г. Краснодару;,350001,,,Краснодар г,,Ставропольская ул,75/5,,;861-239-63-21, 861-239-63-22, 861-267-65-16;Код ОКПО:21047098;УФК по Краснодарскому краю;03701000;2310024534;231001001;ГРКЦ ГУ БАНКА РОССИИ ПО КРАСНОДАРСКОМУ КР.;040349001;;40101810300000010013;23060;Инспекция Федеральной налоговой службы № 3 по г. Краснодару;350001, г.Краснодар, ул.Ставропольская, 75/5;861 257-31-77;;23060;Инспекция Федеральной налоговой службы № 3 по г. Краснодару;350001, г.Краснодар, ул.Ставропольская, 75/5;861 257-31-77;
2310;Инспекция Федеральной налоговой службы №2 по г. Краснодару;,350020,,,Краснодар г,,Коммунаров ул,235,,;861-215-81-39;Код ОКПО:21047112;УФК по Краснодарскому краю;03701000;2310024534;231001001;ГРКЦ ГУ БАНКА РОССИИ ПО КРАСНОДАРСКОМУ КР.;040349001;;40101810300000010013;23061;Инспекция Федеральной налоговой службы № 2 по г. Краснодару;350020, г.Краснодар, ул.Коммунаров, 235;861 262-48-15;;23061;Инспекция Федеральной налоговой службы № 2 по г. Краснодару;350020, г.Краснодар, ул.Коммунаров, 235;861 262-48-15;
2311;Инспекция Федеральной налоговой службы №4 по г. Краснодару;,350049,,,Краснодар г,,Красных Партизан ул,122,,;861-214-12-02;Код ОКПО:21047081;УФК по Краснодарскому краю;03701000;2310024534;231001001;ГРКЦ ГУ БАНКА РОССИИ ПО КРАСНОДАРСКОМУ КР.;040349001;;40101810300000010013;23062;Инспекция Федеральной налоговой службы № 4 по г. Краснодару;350062, г.Краснодар, ул.Воровского, 233;861 256-07-54;;23062;Инспекция Федеральной налоговой службы № 4 по г. Краснодару;350062, г.Краснодар, ул.Воровского, 233;861 256-07-54;
